ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
BGD,312727,Total fertility rate 15-49,3.4,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1993-94,DHS,,,,,
BGD,255980,Married women currently using any method of contraception,44.9,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1993-94,DHS,8840,8846,,,
BGD,255981,Married women currently using any modern method of contraception,36.6,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1993-94,DHS,8840,8846,,,
BGD,433074,Unmet need for family planning,21.6,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1993-94,DHS,8840,8846,,,
BGD,679828,Demand for family planning satisfied by modern methods,55,1,BD,Bangladesh,1994,BD1994DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1993-94,DHS,5880,5955,,,
BGD,241121,Median age at first marriage [Women]: 25-49,14.1,1,BD,Bangladesh,1994,BD1994DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1993-94,DHS,,,,,
BGD,126496,Infant mortality rate,88,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1993-94,DHS,,,79,96,
BGD,287102,Infant mortality rate,101,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1993-94,DHS,,,94,107,
BGD,143573,Under-five mortality rate,134,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1993-94,DHS,,,122,145,
BGD,115830,Under-five mortality rate,150,0,BD,Bangladesh,1994,BD1994DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1993-94,DHS,,,141,158,
BGD,219254,Place of delivery: Health facility,3.5,1,BD,Bangladesh,1994,BD1994DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,1993-94,DHS,3917,3865,,,
